报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,60.881,22.2193,2.74,0.6796,67.19,-5.98%,2.60亿,-80.65%,1.77,2.16亿,-27.44亿,3.86%,40.10亿,22.74亿
2024,61.992,22.2193,2.79,0.6428,96.44,-5.75%,14.59亿,150.58%,1.65,1.50亿,-30.04亿,15.13%,37.47亿,18.72亿
2023,66.763,18.3919,3.63,0.6525,102.32,6.91%,-28.83亿,-689.06%,1.00,12.54亿,-44.62亿,-28.24%,22.81亿,20.22亿
2022,112.375,18.3919,6.11,1.1741,95.71,-8.91%,4.89亿,110.97%,2.13,9.70亿,-15.79亿,4.98%,39.85亿,26.32亿
2021,118.444,18.3919,6.44,1.1273,105.07,-2.39%,-44.62亿,-237.50%,1.88,18.71亿,-20.68亿,-42.57%,37.11亿,17.74亿
2020,130.189,13.1371,9.91,1.2095,107.64,79.20%,32.45亿,3131.98%,6.68,21.26亿,33.36亿,30.15%,87.98亿,25.55亿
2019,98.8,11.5963,8.52,1.6447,60.07,32.93%,1.00亿,117.55%,2.49,8.70亿,2.78亿,1.66%,28.98亿,10.54亿
2018,53.459,11.5963,4.61,1.183,45.19,47.63%,-5.72亿,-318.19%,2.05,4.79亿,1.88亿,-12.73%,23.97亿,14.91亿
2017,,,3.72,,30.61,29.13%,2.62亿,-29.70%,3.92,4.30亿,8.37亿,8.47%,30.48亿,9.98亿
2016,,,5.35,,23.7,10.70%,3.73亿,238.18%,2.21,1.72亿,6.77亿,15.72%,14.24亿,4.88亿
2015,,,5.4,,21.41,-17.75%,1.10亿,239.62%,3.76,3.18亿,3.69亿,5.03%,11.25亿,3.47亿
2014,,,1.81,,26.03,25.26%,3246.69万,-72.21%,2.66,2.08亿,2.85亿,1.04%,6.20亿,4.21亿
2013,,,1.59,,20.78,1.78%,1.17亿,158.52%,2.55,3.56亿,2.76亿,6.02%,6.16亿,3.80亿
2012,,,1.51,,20.42,17.60%,4518.43万,50.53%,2.08,1.55亿,1.84亿,2.51%,5.17亿,2.53亿
2011,,,1.34,,17.36,56.94%,3001.64万,-23.15%,1.96,1.48亿,1.63亿,2.57%,4.84亿,2.25亿
2010,,,1.95,,11.06,14.18%,3905.62万,-26.42%,1.93,1.08亿,1.56亿,3.88%,4.53亿,1.80亿
