报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,26.569,5.8138,4.57,0.6007,33.17,436.44%,-4725.03万,20.12%,0.75,17.38亿,-14.36亿,-1.56%,4.48亿,7.06亿
2024,22.906,5.8138,3.94,1.4731,15.55,68.42%,-2.44亿,-1758.96%,0.83,10.69亿,-13.89亿,-15.94%,5.02亿,12.36亿
2023,28.371,5.8138,4.88,2.9188,9.72,-26.63%,1470.75万,105.29%,1.25,8.72亿,-11.45亿,0.64%,7.62亿,8.48亿
2022,26.511,5.8138,4.56,2.0023,13.24,20.72%,-2.78亿,-67.05%,1.36,8.46亿,-10.86亿,-23.12%,7.53亿,3.28亿
2021,28.302,4.7092,6.01,2.5799,10.97,3.85%,-1.67亿,-1995.60%,1.09,2.42亿,-8.08亿,-15.96%,4.95亿,11.26亿
2020,25.806,4.7092,5.48,2.4438,10.56,-18.92%,878.62万,-57.92%,1.44,9678.03万,-6.42亿,0.76%,6.60亿,6.07亿
2019,18.46,4.7092,3.92,1.3377,13.8,7.54%,2088.10万,2.54%,1.42,2.47亿,-6.50亿,1.44%,6.43亿,3.63亿
2018,16.718,4.7092,3.55,1.302,12.84,16.41%,2036.40万,83.46%,1.37,2.03亿,-6.71亿,2.47%,4.67亿,6.40亿
2017,,,4.92,,11.03,4.98%,1110.02万,102.34%,1.33,1.51亿,-6.92亿,2.21%,5.58亿,6.22亿
2016,,,7.91,,10.5,-11.92%,-4.74亿,-331.75%,1.30,4.74亿,-7.03亿,-68.23%,5.34亿,3.19亿
2015,,,8.46,,11.92,8.08%,-1.10亿,-868.26%,2.31,5.77亿,-2.29亿,-12.89%,12.50亿,2.47亿
2014,,,6.18,,11.03,-18.94%,1428.39万,137.09%,3.31,8.38亿,-1.19亿,-0.95%,14.04亿,3.98亿
2013,,,4.56,,13.61,-48.92%,-3851.59万,-210.40%,2.24,3.52亿,-1.33亿,-3.26%,8.63亿,3.92亿
2012,,,4.31,,26.65,45.85%,3488.63万,114.50%,2.34,5.25亿,-9494.42万,0.47%,8.20亿,3.56亿
2011,,,5.48,,18.27,-3.15%,-2.41亿,-486.46%,2.23,4.75亿,-1.30亿,-15.38%,7.18亿,10.75亿
2010,,,8.78,,18.86,53.74%,6224.03万,444.26%,3.98,2.11亿,1.20亿,2.25%,9.98亿,13.01亿
