报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,45.22,3.9016,11.59,2.7175,12.48,-3.16%,1.84亿,-1.11%,3.52,10.39亿,2.43亿,14.62%,14.16亿,1.83亿
2024,39.773,4.0134,9.91,2.1315,18.66,-6.53%,2.97亿,-3.87%,3.57,11.42亿,2.67亿,15.99%,14.79亿,1.47亿
2023,35.938,4.0154,8.95,1.8005,19.96,6.17%,3.09亿,28.82%,4.00,12.73亿,4.09亿,15.65%,16.57亿,1.80亿
2022,31.132,4.017,7.75,1.656,18.8,-8.64%,2.40亿,673.30%,3.82,11.25亿,4.17亿,13.01%,15.87亿,2.34亿
2021,30.812,4.0596,7.59,1.4972,20.58,29.19%,3105.18万,-83.56%,3.98,12.33亿,4.26亿,1.80%,16.59亿,3.07亿
2020,43.001,4.0001,10.75,2.6994,15.93,-3.44%,1.89亿,-29.42%,4.44,13.31亿,5.57亿,12.14%,18.20亿,2.17亿
2019,,,,,16.5,-2.05%,2.68亿,-11.41%,3.30,7.73亿,5.18亿,16.44%,12.31亿,1.67亿
2018,,,,,16.84,6.33%,3.02亿,7.38%,2.86,6.59亿,3.57亿,17.87%,10.28亿,1.63亿
2017,,,,,15.84,26.76%,2.81亿,33.42%,2.26,7.09亿,1.25亿,17.97%,8.12亿,1.75亿
2016,,,,,12.5,32.24%,2.11亿,-13.99%,2.17,3.55亿,2.78亿,16.86%,7.82亿,9671.33万
2015,,,,,9.45,False,2.45亿,False,1.66,3.03亿,3.19亿,25.94%,5.97亿,6904.71万
