报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,202.23,17.96,11.26,1.7869,84.88,-9.37%,11.70亿,22.32%,8.77,151.80亿,77.29亿,14.44%,164.78亿,15.36亿
2024,258.624,17.96,14.4,1.9259,134.29,-1.94%,13.72亿,-26.03%,8.68,134.26亿,75.64亿,11.15%,164.21亿,11.35亿
2023,165.95,17.96,9.24,1.2191,136.13,9.21%,18.55亿,32.55%,8.58,121.67亿,74.98亿,14.36%,162.04亿,15.59亿
2022,154.995,17.96,8.63,1.2434,124.65,10.00%,13.99亿,-7.67%,8.15,121.10亿,68.36亿,11.91%,154.47亿,18.27亿
2021,138.292,17.96,7.7,1.2205,113.31,8.20%,15.15亿,5.46%,8.02,129.48亿,67.34亿,14.44%,152.86亿,16.77亿
2020,128.594,17.96,7.16,1.2279,104.73,2.07%,14.37亿,12.64%,7.79,136.08亿,64.88亿,14.76%,148.06亿,13.91亿
2019,152.48,17.96,8.49,1.486,102.61,7.16%,12.76亿,3.05%,7.61,147.02亿,62.91亿,13.72%,144.52亿,14.72亿
2018,152.121,17.96,8.47,1.5886,95.76,-7.57%,12.38亿,-18.19%,7.50,123.41亿,62.15亿,14.32%,141.74亿,14.16亿
2017,,,8.97,,103.6,-6.70%,15.13亿,-16.15%,7.41,128.04亿,61.97亿,15.57%,139.31亿,13.30亿
2016,,,10.47,,111.05,10.10%,18.05亿,6.47%,7.09,123.74亿,57.58亿,17.12%,133.00亿,12.72亿
2015,,,14.78,,100.85,11.58%,16.95亿,15.41%,6.37,114.63亿,46.51亿,17.64%,120.12亿,11.60亿
2014,,,10.18,,90.39,12.52%,14.69亿,32.24%,5.75,107.18亿,36.04亿,16.91%,109.22亿,10.53亿
2013,,,6.65,,80.33,15.91%,11.11亿,18.10%,5.14,84.62亿,26.11亿,14.09%,94.80亿,11.42亿
2012,,,5.3,,69.3,18.33%,9.40亿,17.23%,4.71,77.14亿,19.24亿,13.29%,86.34亿,10.29亿
2011,,,5.3,,58.57,22.97%,8.02亿,35.12%,4.30,69.02亿,12.76亿,13.77%,79.37亿,9.76亿
2010,,,6.98,,47.63,17.53%,5.94亿,23.80%,3.91,63.24亿,6.44亿,12.62%,70.84亿,8.15亿
