报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,126.874,19.5793,6.48,1.3889,68.51,-17.83%,9.56亿,17.71%,6.22,120.35亿,64.78亿,14.06%,123.36亿,11.56亿
2024,139.405,19.5793,7.12,1.2969,107.49,-4.40%,7.05亿,-24.67%,5.86,114.95亿,57.18亿,6.67%,116.26亿,15.24亿
2023,126.712,19.892,6.37,1.1269,112.44,-3.79%,9.36亿,32.21%,5.90,106.77亿,58.83亿,8.50%,118.98亿,16.51亿
2022,93.095,19.892,4.68,0.7966,116.87,15.78%,7.08亿,10.65%,5.63,93.27亿,54.28亿,6.26%,113.37亿,18.40亿
2021,89.514,19.892,4.5,0.8868,100.94,16.57%,6.40亿,4.23%,5.49,82.98亿,51.74亿,6.55%,110.46亿,24.33亿
2020,79.369,19.892,3.99,0.9166,86.59,-1.97%,6.14亿,10.18%,5.33,75.61亿,49.71亿,7.38%,106.99亿,15.21亿
2019,89.116,19.892,4.48,1.0089,88.33,-10.16%,5.57亿,-48.75%,5.20,71.77亿,47.67亿,6.56%,106.40亿,14.96亿
2018,105.627,19.892,5.31,1.0743,98.32,12.89%,10.87亿,-2.67%,5.04,59.74亿,45.28亿,11.25%,102.71亿,12.03亿
2017,,,8.23,,87.1,14.70%,11.17亿,5.48%,4.68,45.25亿,40.03亿,13.02%,95.69亿,12.40亿
2016,,,13.5,,75.94,15.38%,10.59亿,37.00%,4.30,56.02亿,34.28亿,14.16%,87.21亿,9.58亿
2015,,,12.42,,65.81,14.56%,7.73亿,11.31%,6.31,34.59亿,27.18亿,11.82%,58.64亿,7.89亿
2014,,,6.27,,57.45,25.00%,6.94亿,14.62%,5.66,30.82亿,22.57亿,12.18%,52.08亿,6.69亿
2013,,,4.63,,45.96,26.15%,6.06亿,21.42%,5.08,24.87亿,18.47亿,13.29%,46.70亿,7.18亿
2012,,,3.8,,36.43,17.63%,4.99亿,25.73%,4.55,22.85亿,14.57亿,13.79%,41.82亿,3.52亿
2011,,,3.95,,30.97,10.40%,3.97亿,23.58%,4.12,25.07亿,11.78亿,13.10%,37.81亿,3.56亿
2010,,,5.44,,27.6,8.48%,3.21亿,16.13%,3.78,29.94亿,9.42亿,11.65%,34.68亿,2.26亿
