报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,166.808,7.0058,23.81,20.5092,6.1,0.30%,7431.40万,-9.03%,5.18,5.46亿,19.16亿,13.44%,36.59亿,False
2024,145.721,7.0058,20.8,17.9681,8.11,3.89%,1.19亿,-18.17%,5.10,5.34亿,18.59亿,16.05%,36.06亿,False
2023,102.635,7.0058,14.65,13.1415,7.81,11.94%,1.46亿,48.14%,4.95,4.37亿,17.61亿,19.73%,34.96亿,False
2022,85.751,7.0058,12.24,12.2852,6.98,6.13%,9828.34万,-35.70%,4.81,2.56亿,16.29亿,14.29%,33.75亿,False
2021,166.388,7.0058,23.75,25.3254,6.57,15.22%,1.53亿,8.00%,4.65,3.51亿,15.86亿,23.54%,32.64亿,False
2020,90.375,7.0058,12.9,15.8553,5.7,-21.00%,1.42亿,-35.39%,4.52,3.32亿,14.67亿,24.95%,31.69亿,False
2019,119.589,7.0058,17.07,16.5636,7.22,-26.90%,2.19亿,-31.81%,4.39,3.95亿,13.38亿,30.11%,30.74亿,False
2018,161.414,7.0058,23.04,16.3374,9.88,21.27%,3.21亿,10.45%,4.13,4.18亿,11.84亿,33.94%,29.10亿,False
2017,,,19.24,,8.15,10.75%,2.91亿,35.48%,3.67,3.91亿,8.95亿,38.37%,25.97亿,2939.49万
2016,,,18.8,,7.35,35.48%,2.15亿,36.24%,3.28,4.68亿,6.19亿,31.35%,23.33亿,2940.51万
2015,,,37.49,,5.43,38.82%,1.58亿,11.14%,2.97,6.29亿,4.04亿,31.51%,21.12亿,1600.87万
2014,,,20.7,,3.91,49.26%,1.42亿,76.46%,2.03,2.84亿,2.47亿,36.57%,13.83亿,796.68万
2013,,,12.26,,2.62,192.34%,8034.25万,1138.09%,0.75,1.20亿,1.05亿,12.42%,2.01亿,False
2012,,,,,0.360838,91.43%,648.92万,15.28%,0.73,4062.33万,-1.74亿,34.67%,1.56亿,1512.80万
2011,,,,,0.188495,13204.72%,562.93万,791.61%,0.70,1.03亿,-1.81亿,30.87%,1.38亿,616.91万
2010,,,,,0.001417,-94.94%,63.14万,-84.68%,0.65,8751.06万,-1.86亿,494.13%,1.29亿,False
