报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,187.031,11.166,16.75,2.426,57.82,-1.81%,7.55亿,4.36%,10.79,28.96亿,32.00亿,13.50%,121.98亿,3635.06万
2024,159.562,11.166,14.29,2.0586,77.51,-0.54%,8.06亿,1.41%,10.48,21.32亿,28.48亿,10.58%,118.21亿,4059.39万
2023,166.932,11.166,14.95,2.1421,77.93,53.10%,7.95亿,237.85%,9.97,23.13亿,23.32亿,10.41%,112.73亿,4364.36万
2022,265.617,11.1886,23.74,5.2184,50.9,-17.29%,-5.77亿,-1135.95%,9.37,24.52亿,15.64亿,-13.26%,106.70亿,3621.81万
2021,280.233,11.2138,24.99,4.5544,61.53,16.49%,5567.69万,111.23%,9.90,32.73亿,21.40亿,0.16%,113.22亿,4512.04万
2020,200.408,9.8772,20.29,3.7942,52.82,-36.45%,-4.96亿,-156.05%,8.48,17.43亿,24.47亿,-10.06%,86.35亿,4073.67万
2019,193.988,9.8772,19.64,2.3341,83.11,-2.67%,8.85亿,3.26%,9.06,19.14亿,30.00亿,11.06%,92.97亿,4821.49万
2018,147.91,9.7889,15.11,1.7322,85.39,1.45%,8.57亿,35.84%,8.34,10.32亿,21.88亿,10.45%,84.53亿,5053.49万
2017,,,21.24,,84.17,29.03%,6.31亿,199.09%,9.00,14.50亿,13.97亿,7.83%,76.27亿,4551.25万
2016,,,14.99,,65.23,389.40%,2.11亿,110.66%,9.89,11.04亿,7.74亿,5.11%,70.03亿,5441.23万
2015,,,19.44,,13.33,-52.24%,1.00亿,-10.97%,5.13,1.67亿,6.01亿,8.46%,14.06亿,2279.24万
2014,,,10.61,,27.91,-5.87%,1.12亿,-4.66%,4.95,2.48亿,5.45亿,4.79%,13.43亿,1642.16万
2013,,,9.15,,29.65,-2.51%,1.18亿,4.97%,4.62,2.99亿,5.00亿,4.61%,12.93亿,1858.14万
2012,,,7.06,,30.41,12.72%,1.12亿,5.91%,4.36,4.09亿,4.51亿,4.55%,12.36亿,2116.16万
2011,,,7.69,,26.98,10.23%,1.06亿,-43.30%,4.38,3.24亿,3.92亿,4.66%,13.34亿,2554.22万
2010,,,13.34,,23.05,39.73%,1.87亿,17.20%,4.44,2.30亿,4.07亿,10.30%,12.65亿,1506.83万
