报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,52.515,8.6659,6.06,3.2849,11.99,-7.83%,1.51亿,17.49%,3.95,7.65亿,9.66亿,12.06%,36.93亿,1.69亿
2024,49.482,8.6659,5.71,2.7988,17.68,-13.08%,1.60亿,-24.06%,3.78,9.48亿,8.14亿,7.09%,35.57亿,1.93亿
2023,50.089,8.6659,5.78,2.4626,20.34,1.27%,2.11亿,2.25%,3.62,8.76亿,6.86亿,8.99%,34.97亿,1.96亿
2022,44.716,8.6659,5.16,2.2258,20.09,-1.09%,2.06亿,39.28%,3.48,8.73亿,5.72亿,9.46%,34.02亿,1.30亿
2021,46.623,8.6659,5.38,2.2956,20.31,7.55%,1.48亿,53.88%,3.34,9.19亿,4.63亿,8.01%,33.04亿,1.12亿
2020,14.106,3.014,4.68,0.7471,18.88,12.97%,9613.58万,401.22%,1.99,5.31亿,3.16亿,1.89%,24.79亿,2.04亿
2019,15.552,3.014,5.16,4.0926,3.8,-14.10%,1918.03万,142.96%,1.98,1.24亿,1.73亿,6.99%,6.34亿,1.75亿
2018,14.829,3.014,4.92,3.3474,4.43,-5.31%,-4464.53万,-208.86%,1.92,1.51亿,1.56亿,-8.83%,6.13亿,1.30亿
2017,,,6.97,,4.68,5.29%,4101.11万,24.91%,2.10,1.54亿,2.10亿,10.14%,6.64亿,1.44亿
2016,,,11.7,,4.44,-6.32%,3283.21万,23.69%,2.01,1.37亿,1.88亿,9.06%,6.35亿,1.47亿
2015,,,12.42,,4.74,19.07%,2654.36万,18.55%,1.90,1.29亿,1.57亿,6.78%,5.97亿,2.01亿
2014,,,6.81,,3.98,-17.43%,2239.01万,-26.94%,1.81,1.23亿,1.32亿,6.46%,5.67亿,2.05亿
2013,,,5.19,,4.82,8.11%,3064.44万,73.86%,1.77,1.35亿,1.21亿,7.45%,5.52亿,1.65亿
2012,,,4.9,,4.46,-20.22%,1762.59万,75.61%,1.67,1.01亿,9307.63万,4.67%,5.18亿,1.25亿
2011,,,6.21,,5.59,29.39%,1003.69万,-79.80%,1.61,7920.31万,7719.52万,1.40%,4.99亿,1.41亿
2010,,,7.14,,4.32,20.95%,4967.89万,88.76%,1.75,1.03亿,1.01亿,11.59%,6.13亿,1.72亿
