报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,72.279,17.0068,4.25,0.6109,88.73,-4.86%,5231.90万,9.51%,3.39,36.63亿,14.68亿,0.69%,60.76亿,31.51亿
2024,76.531,17.0068,4.5,0.7111,107.62,-21.24%,-2.08亿,-411.11%,3.40,27.27亿,14.16亿,-1.81%,60.74亿,47.62亿
2023,72.619,17.0068,4.27,0.5315,136.63,-5.51%,6678.21万,119.06%,3.62,28.68亿,16.74亿,0.51%,64.49亿,50.07亿
2022,51.531,17.0068,3.03,0.3564,144.6,-13.46%,-3.50亿,-161.49%,3.70,33.27亿,16.44亿,-2.53%,67.79亿,53.37亿
2021,73.129,17.0068,4.3,0.4377,167.08,17.40%,5.70亿,228.25%,4.12,39.89亿,23.34亿,3.67%,75.28亿,65.61亿
2020,61.231,15.1938,4.03,0.4302,142.32,-10.42%,-4.44亿,-210.42%,3.70,29.57亿,20.94亿,-3.30%,59.90亿,51.40亿
2019,98.608,15.1938,6.49,0.6207,158.87,11.04%,4.02亿,-46.14%,4.15,31.45亿,27.58亿,2.59%,66.80亿,54.99亿
2018,69.436,15.1938,4.57,0.4853,143.07,13.58%,7.47亿,10.28%,4.56,30.12亿,28.79亿,5.27%,73.53亿,54.94亿
2017,,,7.24,,125.97,42.54%,6.77亿,41.37%,6.80,22.56亿,26.95亿,5.58%,72.40亿,48.30亿
2016,,,6.17,,88.37,29.88%,4.79亿,42.64%,4.79,12.07亿,20.90亿,5.80%,42.35亿,26.34亿
2015,,,6.43,,68.04,10.94%,3.36亿,99.40%,4.39,7.31亿,17.07亿,4.99%,37.46亿,25.83亿
2014,,,2.86,,61.33,-1.72%,1.68亿,-15.88%,4.07,11.22亿,13.94亿,2.73%,34.70亿,24.98亿
2013,,,2.39,,62.4,8.86%,2.00亿,120.72%,3.89,6.32亿,12.54亿,3.02%,33.19亿,21.35亿
2012,,,2.16,,57.32,12.24%,9073.64万,-77.70%,3.63,6.43亿,10.85亿,1.60%,31.16亿,21.29亿
2011,,,2.63,,51.07,6.78%,4.07亿,9.64%,5.38,11.37亿,10.63亿,7.74%,30.77亿,23.26亿
2010,,,5.14,,47.83,45.40%,3.71亿,153.59%,9.39,15.89亿,7.19亿,7.86%,26.35亿,17.12亿
