报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,37.233,17.3176,2.15,6.9121,4.04,-1.62%,1996.09万,-33.69%,1.19,1.50亿,1.53亿,4.94%,20.65亿,3.14亿
2024,37.406,17.3176,2.16,6.9142,5.41,-34.09%,3807.24万,-17.23%,1.24,4.61亿,2.19亿,7.04%,21.53亿,3.07亿
2023,32.038,17.3176,1.85,3.9071,8.2,-1.26%,4599.62万,-44.98%,1.28,8.49亿,2.76亿,5.61%,22.20亿,3.68亿
2022,32.384,17.3176,1.87,3.897,8.31,-5.01%,8359.41万,-18.50%,1.36,9.74亿,4.08亿,10.05%,23.47亿,3.33亿
2021,36.367,17.3176,2.1,4.1562,8.75,-23.57%,1.03亿,-55.92%,1.38,9.52亿,4.55亿,11.72%,23.85亿,3.51亿
2020,39.138,17.3176,2.26,3.4182,11.45,-0.71%,2.33亿,182.72%,1.42,10.87亿,5.35亿,20.33%,24.55亿,2.59亿
2019,20.492,14.4313,1.42,1.7773,11.53,-15.95%,8230.31万,-6.92%,1.64,8.22亿,4.70亿,7.14%,23.67亿,3.55亿
2018,18.761,14.4313,1.3,1.3674,13.72,-4.05%,8841.73万,26.21%,1.68,10.07亿,5.38亿,6.45%,24.29亿,4.04亿
2017,,,2.0,,14.29,20.30%,7005.57万,155.22%,2.58,12.23亿,6.03亿,4.90%,24.85亿,3.75亿
2016,,,2.96,,11.88,-20.27%,2744.91万,246.81%,2.03,4.14亿,5.72亿,2.31%,16.26亿,2.51亿
2015,,,2.97,,14.9,-9.35%,-1869.71万,-161.98%,2.08,4.86亿,6.23亿,-1.24%,16.98亿,3.18亿
2014,,,1.89,,16.44,0.62%,3016.88万,-87.38%,2.19,3.86亿,7.14亿,1.88%,17.87亿,3.89亿
2013,,,2.8,,16.34,7.31%,2.39亿,10.04%,2.25,4.08亿,7.59亿,14.67%,18.28亿,2.61亿
2012,,,1.83,,15.22,-13.06%,2.17亿,33.49%,2.04,3.78亿,6.15亿,14.35%,16.60亿,2.31亿
2011,,,1.36,,17.51,24.16%,1.63亿,34.38%,3.58,4.44亿,4.42亿,9.51%,14.77亿,2.29亿
2010,,,1.98,,14.11,36.98%,1.21亿,32.59%,2.50,1.98亿,3.14亿,8.86%,9.14亿,3.67亿
