报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2025-09-30,419.078,100.7399,4.16,14.882,21.12,57.53%,1.53亿,128.55%,2.70,553.13亿,13.12亿,8.73%,279.25亿
2024,388.226,86.6576,4.48,14.3787,27.0,-21.21%,-2970.91万,-109.67%,2.70,616.10亿,11.55亿,1.16%,241.82亿
2023,267.772,86.6576,3.09,7.8136,34.27,99.10%,3.07亿,120.44%,2.73,614.70亿,12.18亿,12.22%,245.86亿
2022,248.707,86.6576,2.87,14.4513,17.21,-60.94%,-15.03亿,-356.27%,2.67,569.76亿,9.50亿,-84.58%,238.54亿
2021,350.097,86.6576,4.04,7.9459,44.06,1.06%,5.86亿,28.91%,2.90,523.31亿,26.13亿,13.56%,258.23亿
2020,405.291,66.6597,6.08,9.2957,43.6,13.35%,4.55亿,47.80%,2.62,424.28亿,22.94亿,15.78%,222.43亿
2019,336.182,51.8,6.49,8.7411,38.46,17.35%,3.08亿,1.62%,2.34,320.21亿,20.13亿,10.94%,175.07亿
2018,284.382,51.8,5.49,8.6781,32.77,9.75%,3.03亿,-26.16%,2.38,272.00亿,18.94亿,9.66%,184.90亿
2017,,,,,29.86,-3.61%,4.10亿,-38.93%,2.40,255.94亿,16.53亿,20.59%,182.83亿
2016,,,,,30.98,-3.59%,6.72亿,-28.37%,2.30,245.95亿,14.05亿,30.82%,234.81亿
2015,,,,,32.13,188.91%,9.38亿,351.31%,1.97,141.37亿,9.05亿,31.16%,129.74亿
2014,,,,,11.12,66.34%,2.08亿,106.09%,1.60,49.32亿,2.13亿,19.43%,37.48亿
2013,,,,,6.69,89.27%,1.01亿,439.09%,1.28,25.03亿,6744.77万,15.38%,22.20亿
2012,,,,,3.53,79.75%,1869.86万,71.95%,1.13,27.82亿,828.73万,5.45%,17.82亿
2011,,,,,1.97,9.39%,1087.46万,-65.00%,False,21.87亿,3011.25万,5.62%,11.03亿
2010,,,,,1.8,-14.22%,3106.95万,-41.14%,False,13.24亿,5229.45万,15.90%,4.83亿
