报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2025-09-30,513.593,27.3333,18.79,19.1164,20.15,8.75%,8.04亿,7.19%,5.03,289.75亿,19.87亿,39.87%,137.54亿
2024,595.319,27.3333,21.78,24.6203,24.18,25.49%,9.85亿,40.49%,4.84,264.75亿,14.76亿,40.75%,132.45亿
2023,455.646,27.3333,16.67,23.6454,19.27,21.33%,7.01亿,26.33%,4.52,245.49亿,12.34亿,36.39%,123.62亿
2022,464.119,27.3333,16.98,29.2266,15.88,-24.87%,5.55亿,-35.37%,4.43,228.22亿,12.54亿,34.86%,121.11亿
2021,,,,,21.13,27.47%,8.59亿,40.61%,3.95,186.44亿,9.00亿,40.63%,97.30亿
2020,,,,,16.58,23.77%,6.11亿,40.70%,3.63,138.81亿,3.59亿,36.88%,89.48亿
2019,,,,,13.4,64.32%,4.34亿,148.24%,6.89,110.37亿,26.41亿,32.39%,44.94亿
2018,,,,,8.15,-12.39%,1.75亿,-44.58%,6.30,76.17亿,24.01亿,21.46%,41.07亿
2017,,,,,9.31,-15.56%,3.15亿,-25.40%,False,73.33亿,22.55亿,33.89%,39.14亿
2016,,,,,11.02,-32.56%,4.23亿,-40.99%,False,85.80亿,20.29亿,38.85%,36.85亿
2015,,,,,16.33,109.63%,7.17亿,162.21%,False,106.34亿,17.30亿,43.87%,33.85亿
2014,,,,,7.79,78.53%,2.73亿,87.92%,False,51.60亿,12.33亿,35.07%,25.51亿
2013,,,,,4.36,22.57%,1.45亿,43.14%,False,23.18亿,10.41亿,33.32%,21.32亿
2012,,,,,3.56,-57.25%,1.02亿,-29.50%,False,24.01亿,9.41亿,28.53%,20.17亿
2011,,,,,8.33,-21.76%,1.44亿,-45.27%,False,44.67亿,9.77亿,28.85%,22.62亿
2010,,,,,10.65,-5.57%,2.63亿,-15.93%,False,48.55亿,8.75亿,37.05%,21.23亿
